,REG_DATE,중국,페루,칠레c,자사제품제조용,판매용,냉동,"냉동,동체","냉동,동체,자숙","냉동,지느러미","중국,냉동c","칠레,냉동,다리c","칠레,냉동,지느러미c","중국,냉동h","페루,냉동,동체,자숙h","페루,냉동,지느러미h","중국,판매용","페루,판매용","판매용,냉동,다리c",P_PRICE
48,2016-12-05,2.428,4.13,1,3.99,2.475,2.69,1.14,5.1,1.09,2,,1,5.74,11.53,0.86,2.305,3.665,,2.778
49,2016-12-12,2.124,2.568,3,2.5,2.056666667,2.725,1.16,4.48,1.0375,1,1,1,2.83,9.71,1.88,2.124,2.613333333,3,2.12
50,2016-12-19,2.15,1.09,4,1.22,1.7775,2.45,1.455,4.26,1.0575,1,1,2,2.57,,0.97,2.15,1.09,3,1.734615385
51,2016-12-26,2.532,4.04,3,5.01,2.404166667,2.665,1.9,5.166666667,1.295,,1,1,,11.06,,2.532,3.555,3,2.604615385
52,2017-01-01,2.063333333,2.87,3,2.826666667,2.153,2.14,2.235,6.385,1.033333333,1,1,1,1.38,12.77,1.97,2.063333333,2.913333333,3,2.308461538
53,2017-01-06,1.455,3.9475,3,5.42,2.17375,,1.665,6.83,1.1,,1,1,,13.66,0.96,1.455,3.456666667,3,2.534444444
54,2017-01-16,1.956666667,3.25,3,3.295,2.175454545,2.75,1.403333333,5.116666667,1.253333333,,1,1,,12.12,1.16,1.956666667,3.22,2,2.347692308
55,2017-01-23,1.72,4.1425,3,6.93,2.105555556,2.56,1.435,7.14,1.193333333,1,1,1,2.56,14.28,1.16,1.72,3.213333333,2,2.588
56,2017-01-30,1.49,3.196,3,3.825,1.83,1.61,1.615,6.045,1.265,1,1,1,1.61,12.09,1.11,1.49,2.776666667,3,2.136923077
57,2017-02-06,,3.52,3,3.17,2.56,,1.54,6.82,1.23,,1,1,,13.64,1.16,,3.753333333,2,2.7125
58,2017-02-13,,3.256666667,3,,2.363333333,,1.57,7.41,1.215,,1,1,,7.41,1.11,,3.256666667,2,2.363333333
59,2017-02-20,3.075,3.253333333,3,,2.513333333,2.85,1.45,5.41,1.16,1,1,1,2.85,7.52,1.12,3.075,3.253333333,2,2.513333333
60,2017-02-27,1.49,3.4525,3,6.11,1.78,2.08,1.32,5.72,1.1575,1,1,1,2.08,11.44,1.1,1.49,2.566666667,2,2.213
61,2017-03-06,2.15,3.665,3,4.62,2.3,2.51,1.51,6.145,1.215,1,1,1,2.72,12.29,1.17,2.15,3.346666667,2,2.532
62,2017-03-13,2.075,3.1525,3,5,1.9925,2.93,1.44,5.135,1.19,1,1,1,2.93,10.27,1.14,2.075,2.536666667,3,2.326666667
63,2017-03-20,2.1525,2.926,3,3.57,2.046,2.81,2.023333333,5.425,1.2,1,1,1,2.81,10.85,1.14,1.99,2.5325,3,2.3
64,2017-03-27,2.405,5.085,3,9.1,2.673333333,3.01,1.42,7.44,1.18,1,1,1,3.01,18.02,1.17,2.806666667,3.746666667,3,3.123636364
65,2017-04-03,1.6875,3.1725,3,3.67,2.114545455,2.67,1.49,5.24,1.44,1,1,1,2.32,10.48,1.13,1.6875,3.006666667,3,2.244166667
66,2017-04-10,1.74,3.91,3,7.09,2.109,2.87,1.335,6.66,1.17,1,1,1,2.72,13.32,1.08,1.74,2.85,3,2.561818182
67,2017-04-17,1.846666667,3.25,3,1.1,2.386,2.85,1.295,7.41,1.2675,1,1,1,2.98,7.41,2.34,1.846666667,4.325,1,2.269090909
68,2017-04-24,3,3.5525,3,5.08,2.43125,2.763333333,1.57,6.03,1.16,1,1,1,3,12.06,1.08,3,3.043333333,2,2.683
69,2017-05-01,,2.355,3,,1.921428571,,1.59,5.13,1.23,,1,1,,5.13,1.18,,2.355,2,1.921428571
70,2017-05-08,2.095,3.5375,3,4.275,2.106666667,2.99,1.3,5.91,1.215,1,1,1,2.99,11.82,1.15,2.99,2.8,1,2.487777778
71,2017-05-15,1.6975,4.955,3,,2.47125,,1.786666667,8.85,1.71,,1,1,,8.85,,1.863333333,4.955,3,2.33
72,2017-05-22,2.82,2.41,3,3.65,1.908888889,2.286666667,1.51,3.6,1.175,1,1,1,2.82,7.2,1.1,2.82,1.996666667,2,2.083
73,2017-05-29,2.705,3.306,3,2.805,2.616666667,3.43,1.49,5.86,1.415,1,1,1,3.79,11.72,,2.705,3.64,2,2.650909091
74,2017-06-05,3.01,2.8825,3,,2.506,3.066666667,1.53,7.43,1.19,1,1,1,3.01,7.43,1.12,3.01,2.8825,2,2.506
75,2017-06-12,2.125,2.404,3,3.246666667,1.902222222,3.003333333,1.59,5.91,1.135,1,1,1,2.89,5.91,1,2.125,1.14,3,2.238333333
76,2017-06-19,3.265,3.12,6,2.93,2.356666667,2.9025,1.745,5.12,1.446666667,2,1,2,6.53,10.24,1.14,3.265,2.51,2,2.487692308
77,2017-06-26,3.33,4.405,3,,2.886666667,3.173333333,2.14,7.27,1.31,1,1,1,3.31,7.27,,3.33,4.405,1,2.886666667
78,2017-07-03,3.22,2.748333333,3,2.5,2.739166667,3.503333333,1.58,5.263333333,1.225,1,1,1,2.99,10.78,1.15,3.22,2.8725,2,2.705
79,2017-07-10,2.753333333,3.385,3,6.11,2.453,4.065,2.525,5.485,1.28,1,1,1,3.51,10.97,1.28,2.753333333,2.476666667,3,2.785454545
80,2017-07-17,3.16,3.504,3,3.395,2.915555556,3.66,1.6,6.87,1.215,1,1,1,3.16,13.74,1.13,3.16,3.576666667,2,3.002727273
81,2017-07-24,1.923333333,3.186666667,3,,2.298,2.76,1.575,6.98,1.506666667,1,1,1,2.21,6.98,1.18,1.923333333,3.186666667,2,2.298
82,2017-07-31,2.02,2.715714286,3,2.746666667,2.115555556,2.54,1.49,5.835,1.26,1,1,1,2.54,11.67,2.27,2.02,2.6925,2,2.355384615
83,2017-08-07,3.275,3.862,3,5.28,2.595555556,3.565,2.295,7.78,1.175,1,1,1,3.54,15.56,1.02,3.275,2.916666667,2,3.083636364
84,2017-08-14,3.19,5.376666667,3,5.45,3.058333333,,1.53,7.4,1.335,,1,1,,14.8,1.33,3.19,5.34,1,3.4
85,2017-08-21,3.176666667,3.6725,3,5.55,2.578888889,3.12,2.305,4.843333333,1.445,1,1,1,3.12,11.13,1.56,3.176666667,3.046666667,1,2.876
86,2017-08-28,2.515,2.511666667,3,1.215,2.45,3.81,1.89,8.01,1.5075,1,1,1,3.81,8.01,2.63,2.515,3.16,3,2.26
87,2017-09-04,2.45,3.08,3,,2.557,3.343333333,1.625,6.57,1.275,1,1,1,3.26,6.57,1.19,2.45,3.08,2,2.557
88,2017-09-11,3.185,3.5225,3,4.54,2.5425,3.413333333,1.62,5.59,1.38,2,1,1,6.37,11.18,1.49,3.185,3.183333333,2,2.875
89,2017-09-18,2.365,4.016666667,3,,2.698888889,3.05,1.595,9.12,1.405,1,1,1,3.2,9.12,1.44,2.365,4.016666667,2,2.698888889
90,2017-09-25,1.666666667,5.13,3,,2.4925,2.65,1.585,8.77,1.3,1,1,1,2.73,8.77,,1.666666667,5.13,3,2.501111111
91,2017-10-09,2.47,3.3825,3,3.045,2.421428571,3.31,1.62,5.365,1.37,1,1,1,3.31,10.73,2.8,2.47,3.72,1,2.56
92,2017-10-16,2.21,4.056666667,3,,2.69625,2.85,1.685,8.75,1.51,1,1,1,2.85,8.75,1.55,2.21,4.056666667,2,2.69625
93,2017-10-23,1.42,3.1,3,4.9,1.533333333,,1.675,4.9,1.56,,1,1,,4.9,,1.42,1.3,3,2.014285714
94,2017-10-30,2.88,2.9,3,,2.358571429,3.31,1.815,3.55,1.31,1,1,1,3.31,,,2.88,2.9,1,2.358571429
95,2017-11-06,2.47,2.853333333,1,,2.447777778,2,1.84,4.48,1.87,,,,,5.3,1.61,2.47,2.853333333,1,2.447777778
96,2017-11-13,1.97,1.89,1,,2.121666667,3.15,1.795,,2.015,,,1,,,,1.97,1.89,1,2.121666667
97,2017-11-20,3.06,,3,,2.676666667,3.6,1.925,,1.965,2,1,1,8.19,,,3.06,,1,2.676666667
98,2017-11-27,2.536666667,,,,2.536666667,3.56,1.79,,2.26,1,,,3.56,,,2.536666667,,,2.536666667
99,2017-12-04,2.362,,3,2.42,2.151111111,2.833333333,2.095,,2.093333333,1,1,1,3.49,,,2.3475,,2,2.178
100,2017-12-11,3.081428571,,3,2.68,2.575555556,2.61,2.273333333,6.09,1.82,2,1,1,5.69,,,3.242,,2,2.594545455
101,2017-12-18,2.792,,3,3.07,2.506363636,3.573333333,2.16,5,1.97,2,1,1,7.75,,,2.672857143,,3,2.627142857
102,2017-12-25,3.58,8.04,,3.685,4.11125,3.13,2.02,6.25,2.73,2,,,6.26,8.04,,3.55,8.04,1,4.026
103,2018-01-01,3.70625,2.765,,5.325,2.972222222,2.763333333,2.635,5.743333333,2.3,2,,,6.07,,2.39,3.166666667,2.765,1,3.4
104,2018-01-08,3.075,4.3725,2,6.48,3.052307692,3.195,2.245,5.3225,2.425,2,1,,6.39,12.31,2.63,3.075,3.67,3,3.297142857
105,2018-01-15,2.2575,4.458333333,2,3.324,2.983636364,3.135,2.4075,8.03,2.116,2,,1,6.27,16.06,5,2.032,4.5075,2,3.09
106,2018-01-22,2.88875,3.59,3,2.765,2.841333333,2.863333333,2.555,5.995,2.376666667,2,1,1,6.28,6.64,2.58,2.93,3.59,4,2.832352941
107,2018-01-29,2.383333333,4.745,,4.496666667,3.126,2.696666667,2.07,8.57,2.53,2,,,6.11,17.14,5.27,2.418,4.2975,2,3.442307692
108,2018-02-05,2.6925,3.86,,2.22,3.307272727,3.26,2.095,8.55,2.43,3,,,11.26,8.55,5.03,2.951666667,4.2225,2,3.044285714
109,2018-02-12,3.6675,5.096666667,,6.18,3.963333333,3.19,2.11,6.436666667,2.55,1,,,3.19,9.94,2.55,2.83,5.096666667,1,4.28
110,2018-02-19,2.505,4.278,,4.69,3.147142857,2.86,1.97,6.915,2.58,1,,,2.86,13.83,2.58,2.505,4.003333333,2,3.49
111,2018-02-26,,7.145,2,,4.6525,,2.3,11.95,2.18,,,1,,11.95,2.34,,7.145,,4.6525
112,2018-03-05,3.435,4.813333333,3,,3.525,,2.35,6.835,2.345,,1,1,,9.04,2.69,3.435,4.813333333,2,3.525
113,2018-03-12,2.52,5.514285714,3,6.34,3.487777778,2.71,2.54,11.06,2.045,1,1,1,2.71,22.12,2.56,2.52,4.895,2,4.200833333
114,2018-03-19,3.5975,5.41,3,5.726666667,3.478,3.916666667,2.68,10.02,2.54,2,1,1,9,20.04,5.11,3.796666667,4.29,2,3.996923077
115,2018-03-26,2.385,4.19,4,3.5,3.163333333,2.9075,2.36,7.69,2.185,1,1,1,3.28,15.38,4.79,2.94,4.1025,2,3.146875
116,2018-04-02,2.7525,3.718333333,3,4.695,3.082727273,3.49,2.43,6.95,2.226666667,2,1,1,6.72,13.9,4.23,3.07,3.23,2,3.221428571
117,2018-04-09,3.198333333,4.26,3,3.98,3.306153846,3.053333333,2.848,7.96,2.83,2,1,1,6.93,15.92,5.56,3.292,4.0875,2,3.4325
118,2018-04-16,2.983333333,3.998,3,4.24,3.131111111,3.24,2.535,7.03,2.36,1,1,1,3.24,14.06,2.32,2.983333333,3.836666667,3,3.332727273
119,2018-04-23,2.895,3.634,3,4.87,3.072,3.775,2.426666667,5.695,2.355,1,1,1,3.48,11.39,2.28,2.895,3.325,2,3.235454545
120,2018-04-30,2.45,4.026,3,3.51,3.201,3.5,2.445,6.16,2.08,1,1,1,3.41,12.32,2.03,2.785,3.7225,2,3.2525
121,2018-05-07,2.77,3.178571429,3,4.035,2.8375,3.61,2.463333333,5.87,2.215,1,1,1,3.63,11.74,4.02,2.77,2.836,2,3.008571429
122,2018-05-14,3.16,3.0825,3,,2.948888889,3.54,2.606666667,6.64,2.21,1,1,1,3.54,6.64,1.98,3.16,3.0825,2,2.948888889
123,2018-05-21,3.345,2.985,3,2.873333333,2.979,3.25,2.72,5.53,2.113333333,1,1,1,3.5,11.06,3.85,3.345,3.052,2,2.957857143
124,2018-05-28,3.7,3.405,3,3.945,3.151,4.325,2.483333333,6.165,2.265,2,1,1,8.65,12.33,2.13,3.7,3.135,2,3.283333333
125,2018-06-04,3.74,3.185,3,3.196666667,3.15,3.99,2.58,5.58,2.09,1,1,1,3.74,11.16,3.96,3.74,3.173333333,2,3.162727273
126,2018-06-11,3.75,4.316,3,9.09,3.17,4.1,2.375,6.33,2.345,2,1,1,8.2,15.94,2.19,3.75,3.1225,2,3.708181818
127,2018-06-18,3.376666667,2.985714286,4,2.646666667,3.059090909,3.11,2.67,4.733333333,2.196666667,1,1,1,3.86,10.75,3.91,3.376666667,3.24,2,2.970714286
128,2018-06-25,2.755,3.428333333,3,6.49,2.732,3.11,2.38,6.015,2.21,1,1,1,3.11,12.03,2.04,2.755,2.816,2,3.073636364
129,2018-07-02,2.73,3.725,3,3.98,3.221111111,4.17,2.315,5.675,2.17,1,1,1,3.46,11.35,1.93,2.73,3.64,2,3.297
130,2018-07-09,3.29,3.556,3,3.61,2.978,2.99,3.37,6.055,2.155,1,1,1,2.44,12.11,1.97,3.29,3.52,2,3.200769231
131,2018-07-16,3.95,3.658333333,4,4.105,3.514,4.365,2.53,6.186666667,2.096666667,1,1,1,3.95,13.56,3.97,3.95,3.435,2,3.6125
132,2018-07-23,3.193333333,3.891666667,3,4.805,3.075454545,3.255,2.786666667,7.45,2.155,2,1,1,6.14,14.9,2.06,3.193333333,3.435,2,3.375
133,2018-07-30,2.99,3.012,3,,3.0125,3.73,2.44,6.19,2.095,1,1,1,3.51,6.19,2.01,2.99,3.012,2,3.0125
134,2018-08-06,3.03,3.901428571,4,5.935,3.239285714,3.735,2.52,6.97,2.215,2,1,1,6.59,15.91,2.07,3.03,3.088,2,3.57625
135,2018-08-13,2.77,4.162,3,8.7,2.7925,2.77,2.32,7.265,2.285,1,1,1,2.77,14.53,2.39,2.77,3.0275,2,3.448888889
136,2018-08-20,3.59,3.576666667,3,3.68,3.226666667,3.78,2.51,6.065,2.165,1,1,1,3.59,12.13,2.09,3.59,3.525,2,3.309090909
137,2018-08-27,2.64,4.732,3,7.96,3.348,4.075,2.5275,7.975,2.1,1,1,1,3.93,15.95,1.96,3.085,3.925,2,3.599166667
138,2018-09-03,2.745,4.042,3,5.7,3.067777778,3.03,2.54,6.195,2.3,1,1,1,3.03,12.39,2.34,2.745,3.6275,2,3.331
139,2018-09-10,3,4.33,3,5.63,3.117777778,3.345,2.445,6.415,2.345,2,1,1,6.69,12.83,2.39,3,3.896666667,2,3.369
140,2018-09-17,3.046666667,4.902857143,4,7.795,3.395384615,3.653333333,2.51,10.805,2.325,2,1,1,6.68,21.61,2.32,3.046666667,3.746,2,3.982
141,2018-09-24,3.28,1.95,3,,2.821666667,3.65,2.63,,2.39,1,1,1,3.28,,,3.28,1.95,2,2.821666667
142,2018-10-01,3.153333333,3.9875,3,5.68,3.058,3.28,2.57,5.7,2.11,1,1,1,3.14,11.4,1.95,3.153333333,3.423333333,2,3.296363636
143,2018-10-08,3.01,5,3,3.1,3.071428571,3.19,2.51,5,2.35,3,1,1,9.57,5,,2.98,5,1,3.075
144,2018-10-15,2.895,4.6,3,3.9075,3.14,3.2,2.603333333,5.725,2.28,2,1,1,6.4,11.45,2.25,2.835,4.34,1,3.419090909
145,2018-10-22,3.09,3.87,3,3.736666667,3.02625,2.98,2.8725,5.71,2.455,2,1,1,5.96,5.71,2.34,2.955,3.573333333,1,3.22
146,2018-10-29,3.155,4.603333333,,5.66,3.401666667,3.12,2.68,5.675,,1,,,3.41,11.35,,3.155,4.075,,3.724285714
147,2018-11-05,3.706,2.475,2,3.3,3.448888889,4.236,2.673333333,,2.4,4,1,,15.8,,2.4,3.8075,2.475,1,3.434
148,2018-11-12,2.87,6.5,3,6.5,2.655,2.595,3.035,6.5,2.28,2,1,1,5.19,6.5,,2.87,,1,3.204285714
149,2018-11-19,2.583333333,4.573333333,3,5.65,3.034444444,3.615,2.245,5.695,2.405,1,1,1,3.15,11.39,2.33,2.583333333,4.035,2,3.296
150,2018-11-26,3.315,3.92,,3.17,3.586,3.813333333,,5.62,2.22,3,,,11.44,5.62,2.22,3.363333333,3.92,1,3.516666667
151,2018-12-03,3.072,5.005,1,,3.543333333,3.58,3.55,7,2.69,1,,1,3.27,7,,3.072,5.005,2,3.543333333
152,2018-12-10,3.551666667,3.603333333,1,5.47,3.300833333,3.672857143,3.66,6.3,2.4,4,,1,15.4,6.3,2.15,3.168,3.603333333,2,3.467692308
153,2018-12-17,3.285,4.08,1,4.3,3.275,4.135,3.34,5.86,2.475,2,,1,8.27,5.86,2.3,2.946666667,4.08,1,3.421428571
154,2018-12-24,2.8375,3.793333333,,,3.35875,3.82,2.57,6.78,2.22,1,,,3.5,6.78,,2.8375,3.793333333,2,3.35875
155,2018-12-31,2.886666667,,2,,2.876666667,3.755,2.885,,2.36,1,,1,3.86,,,2.886666667,,1,2.876666667
156,2019-01-07,3.443333333,2.21,,,3.144,3.58,3.69,,2.21,1,,,3.98,,2.21,3.443333333,2.21,1,3.144
157,2019-01-14,3.17,4.055,,,3.403333333,3.355,3.6,6,2.11,1,,,3.91,6,2.11,3.17,4.055,1,3.403333333
158,2019-01-21,3.244,4,,4.76,2.693333333,2.855,4.02,4.48,2.3,2,,,7.59,5.7,2.3,3.1,2.3,1,3.069090909
159,2019-01-28,2.8725,,,,2.852,2.726666667,3.02,,,2,,,5.41,,,2.8725,,1,2.852
160,2019-02-04,2.91,,,,2.91,2.91,,,,1,,,2.91,,,2.91,,,2.91
161,2019-02-11,3.295,3.706,,5.45,3.2825,2.64,2.545,6.125,1.98,2,,,5.92,12.25,1.98,3.295,3.27,1,3.523333333
162,2019-02-18,3.485,3.234285714,,4.74,2.76625,2.336666667,2.77,5.32,2.08,1,,,3.51,10.64,2.08,3.485,2.632,1,3.161
163,2019-02-25,3.45,3.086666667,,,3.45,3.995,,5.94,1.92,1,,,3.45,5.94,1.92,3.45,3.086666667,1,3.45
164,2019-03-04,2.496666667,2.867142857,,4.56,2.555555556,2.14,2.245,5.23,1.91,2,,,4.92,10.46,1.91,2.496666667,2.585,1,2.756
165,2019-03-11,3.99,2.785,,3.81,3.216666667,4.06,2.925,5.31,2.04,2,,,8.12,5.31,2.04,4.08,2.785,1,3.301428571
166,2019-03-18,3.115,2.663333333,,4.97,2.903333333,2.972,3.28,4.31,1.88,1,,,2.08,9.27,1.88,3.115,2.202,2,3.062307692
167,2019-03-25,3.12,3.211428571,,3.635,3.084545455,2.87,1.96,5.776666667,2.003333333,2,,,7.26,14.06,3.84,3.12,3.042,2,3.169230769
168,2019-04-01,2.385,2.8,,2.96,2.894285714,2.676666667,2.8,5.21,1.73,1,,,1.97,10.42,3.46,2.385,2.72,1,2.908888889
169,2019-04-08,2.416666667,3.118333333,,5.24,2.798888889,3.385,2.275,5.37,1.78,1,,,2.3,10.74,1.78,2.416666667,2.694,2,3.043
170,2019-04-15,3.41,3.044,,4.76,2.88,4.26,2.27,4.765,1.8,1,,,4.26,9.53,1.8,3.41,2.615,1,3.148571429
171,2019-04-22,2.886666667,3.161666667,,4.12,3,3.76,2.115,5.14,1.76,1,,,2.91,12.09,3.52,2.886666667,2.6825,1,3.224
172,2019-04-29,3.106666667,2.502,,1.7,3.105555556,3.82,2.165,4.42,1.7,1,,,3.64,5.56,3.4,3.106666667,2.7025,1,2.965
173,2019-05-06,2.645,3.085,,5.01,2.638181818,2.6,2.23,4.55,1.72,1,,,2.86,10.76,1.72,2.645,2.7,2,2.835833333
174,2019-05-13,3.202,3.331666667,,3.625,3.344,4.166666667,2.36,5.403333333,1.916666667,2,,,7.81,12.88,3.59,3.202,3.185,1,3.390833333
175,2019-05-20,2.86,3.161666667,,4.635,2.585714286,3.02,2.14,5.925,1.785,1,,,3.36,11.85,3.57,2.86,2.425,1,3.041111111
176,2019-05-27,2.2825,3.418,,4.33,2.792222222,2.736666667,2.235,5.74,1.8,2,,,4.97,11.48,1.8,2.2825,3.19,2,2.946
177,2019-06-03,3.015,3.106,,5.28,2.822857143,3.56,2.26,4.995,1.79,1,,,3.64,9.99,1.79,3.015,2.5625,1,3.13
178,2019-06-10,3.612,3.142,2,2.7,3.350714286,3.886666667,2.3,7.29,1.89,2,,1,8.76,7.29,1.78,3.612,3.2525,2,3.284375
179,2019-06-17,2.825,2.926,3,,2.977647059,4.038,2.296666667,4.115,1.796666667,2,1,1,7.32,4.99,1.99,2.825,2.926,3,2.977647059
180,2019-06-24,2.632,3.738333333,4,7.76,2.74875,3.2275,2.386666667,5.186666667,1.91,1,1,1,2.53,12.37,2.14,2.632,2.934,2,3.043529412
181,2019-07-01,3.16,3.44,4,3.93,2.651538462,2.7075,3.055,5.49,1.97,1,1,1,3.56,10.98,2.06,2.866666667,3.1525,3,2.89125
182,2019-07-08,2.763333333,3.155,4,2.42,2.946666667,3.555,2.453333333,6,2.125,1,1,1,3.45,6,2.19,2.935,3.155,2,2.906153846
