REG_DATE,º£Æ®³²,ÅÂ±¹,Æä·ç,ÅÂ±¹C,Æä·çC,"³Ãµ¿,»ì","³Ãµ¿,»ì,ÀÚ¼÷","³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨","³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨C",³Ãµ¿_Æä·ç,"³Ãµ¿,»ì_º£Æ®³²","³Ãµ¿,»ì,ÀÚ¼÷_ÅÂ±¹","³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨_º£Æ®³²","³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨_ÅÂ±¹",³Ãµ¿_Æä·çC,"³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨_º£Æ®³²C","³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨_ÅÂ±¹C",P_PRICE
2017-12-04,11.35,15.82,0,3,0,9.76,10.875,20.515,2,0,9.26,13.53,19.74,21.29,0,1,1,11.53363636
2017-12-11,10.775,14.63,0,2,0,8.6775,8.54,19.55,2,0,9.69,0,18.64,20.46,0,1,1,10.63409091
2017-12-18,11.085,13.035,0,4,0,9.51,11.1,19.11,2,0,9.87,12.91,18.73,19.49,0,1,1,11.02384615
2017-12-25,10.74333333,19.65,0,1,0,8.725,9.04,18.825,2,0,9.53,0,18,19.65,0,1,1,10.756
2018-01-01,10.8325,11.55,0,3,0,9.7525,11.205,17.91,1,0,9.19,13.49,17.91,0,0,1,0,9.8625
2018-01-08,9.098,13.11666667,0,3,0,10.91333333,8.78,17.97,1,0,9.11,0,0,17.97,0,0,1,10.05545455
2018-01-15,11.344,16.28,0,2,0,11.475,9.13,18.28,2,0,9.89,0,17.06,19.5,0,1,1,11.01
2018-01-22,11.886,16.28,0,2,0,10.4025,9.8,19.615,2,0,9.54,0,19.93,19.3,0,1,1,11.53181818
2018-01-29,12.065,15.09666667,7.46,3,1,9.686,11.175,18.33,2,7.46,9.37,12.99,18.05,18.61,1,1,1,10.68785714
2018-02-05,11.556,21.13,7.54,1,1,8.995,8.89,20.275,2,7.54,9.44,0,19.42,21.13,1,1,1,10.68545455
2018-02-12,11.352,12.575,0,2,0,9.38,11.12,18.44,1,0,9,13.46,18.44,0,0,1,0,10.426
2018-02-19,11.164,12.6825,0,4,0,9.625,10.81,18.03,2,0,8.94,12.87,17.55,18.51,0,1,1,10.75538462
2018-02-26,9.47,15.31,6.4,2,1,8.775,8.53,21.81,1,6.4,9.28,0,0,21.81,1,0,1,9.499090909
2018-03-05,11.115,10.475,0,2,0,9.976666667,8.82,17.75,1,0,9.36,0,17.75,0,0,1,0,10.18
2018-03-12,11.282,13.705,0,4,0,10.17,11.44,18.425,2,0,9.45,14.06,17.95,18.9,0,1,1,11.13666667
2018-03-19,11.324,14.975,0,2,0,8.78,8.64,20.21,2,0,8.86,0,18.85,21.57,0,1,1,11.041
2018-03-26,11.12,13.385,0,4,0,9.5,10.515,18.995,2,0,9.16,12.52,18.48,19.51,0,1,1,10.29285714
2018-04-02,11.248,14.90666667,0,3,0,10.2,11.355,18.61,2,0,9.23,13.38,18.26,18.96,0,1,1,11.24454545
2018-04-09,10.77,15.33,0,3,0,10.65333333,8.64,19.275,2,0,9.33,0,18.45,20.1,0,1,1,11.29583333
2018-04-16,11.13,13.84,7.53,2,1,9.023333333,9.27,17.095,2,7.53,9.56,0,15.16,19.03,1,1,1,10.12384615
2018-04-23,11.156,14.37666667,0,3,0,11.24,8.36,19.525,2,0,9.46,0,17.65,21.4,0,1,1,11.09545455
2018-04-30,11.845,15.50333333,0,3,0,10.585,10.81,19.95,2,0,8.23,12.89,19.22,20.68,0,1,1,12.6875
2018-05-07,12.3175,13.7175,0,4,0,10.43,11.38,18.275,2,0,8.97,14.21,18.73,17.82,0,1,1,12.009
2018-05-14,11.075,13.6375,0,4,0,9.78,10.715,18.175,2,0,9.05,12.82,14.89,21.46,0,1,1,11.07
2018-05-21,11.8,13.855,0,2,0,7.94,8.56,18.6,2,0,8.59,0,18.25,18.95,0,1,1,11.19142857
2018-05-28,10.77,13.2325,0,4,0,8.7975,9.27,19.095,2,0,8.5,11.45,16.72,21.47,0,1,1,10.96
2018-06-04,11.8075,13.84,0,4,0,9.83,10.39,20.025,2,0,8.79,12.58,18.52,21.53,0,1,1,11.703
2018-06-11,12.5625,15.73333333,0,3,0,9.8525,10.83,19.995,2,0,8.89,13.09,19.76,20.23,0,1,1,12.67666667
2018-06-18,11.4125,15.45,0,3,0,10.175,10.98,18.92,2,0,6.77,13.61,18.68,19.16,0,1,1,11.31
2018-06-25,11.08,22.52,0,1,0,7.99,8.37,20.435,2,0,8.41,0,18.35,22.52,0,1,1,10.95333333
2018-07-02,10.74,15.82666667,0,3,0,9.708333333,10.485,17.925,2,0,8.64,13.14,13.6,22.25,0,1,1,11.2685
2018-07-09,10.8775,14.34666667,7.18,3,1,10.45,7.99,18.89,2,7.18,8.15,0,16.25,21.53,1,1,1,11.22277778
2018-07-16,12.025,16.91,7.17,2,1,10.685,8.11,19.69,2,7.17,8.34,0,18.59,20.79,1,1,1,10.83
2018-07-23,11.9925,13.66333333,0,3,0,10.365,7.94,19.53,2,0,8.36,0,19.09,19.97,0,1,1,11.44777778
2018-07-30,11.9075,13.8,8.18,4,1,9.1925,11.005,19.055,2,8.18,7.93,13.87,18.75,19.36,1,1,1,10.59928571
2018-08-06,11.82,7.43,0,1,0,8.41,8.32,18.73,1,0,8.41,0,18.73,0,0,1,0,9.118571429
2018-08-13,11.2975,13.52,0,2,0,7.935,8.18,17.98,2,0,8.33,0,17.69,18.27,0,1,1,10.2245
2018-08-20,10.212,13.3625,0,4,0,8.88,10.435,19.095,2,0,8.19,12.86,18.56,19.63,0,1,1,10.38076923
2018-08-27,11.765,20.4,0,1,0,7.576666667,7.13,19.58,2,0,8.38,0,18.76,20.4,0,1,1,10.392
2018-09-03,11.495,14.23333333,6.71,3,1,10.415,9.895,17.715,2,6.71,8.61,12.32,17.27,18.16,1,1,1,10.57090909
2018-09-10,10.91,15.72,0,3,0,9.12,11.01,18.01,2,0,8.45,14.12,15.41,20.61,0,1,1,10.98090909
2018-09-17,12.07,13.185,0,4,0,9.5325,10.19,19.74,2,0,8.43,12.57,19.67,19.81,0,1,1,11.19
2018-09-24,11.6,23.85,0,1,0,9.12,7.84,20.845,2,0,9.12,0,17.84,23.85,0,1,1,13.106
2018-10-01,10.852,12.30666667,0,3,0,8.6775,7.96,16.75,2,0,7.87,0,16.79,16.71,0,1,1,9.806153846
2018-10-08,10.358,18.01,0,1,0,8.025,7.85,17.81,2,0,8.42,0,17.61,18.01,0,1,1,10.21
2018-10-15,10.998,14.64666667,0,3,0,8.983333333,10.48,19.445,2,0,8.48,12.73,18.86,20.03,0,1,1,10.92909091
2018-10-22,10.922,13.195,0,4,0,8.7625,10.395,19.565,2,0,8.45,12.22,18.42,20.71,0,1,1,10.25214286
2018-10-29,11.042,13.93,7.06,2,1,8.99,7.57,19.5,2,7.06,8.65,0,18.63,20.37,1,1,1,9.989166667
2018-11-05,10.584,12.355,0,2,0,8.43,8.04,16.925,2,0,8.43,0,17.83,16.02,0,1,1,9.758
2018-11-12,10.385,13.985,0,2,0,8.853333333,8.9,18.18,2,0,8.51,0,18.64,17.72,0,1,1,9.968333333
2018-11-19,10.115,19.79,0,1,0,7.746666667,7.73,18.535,2,0,8.59,0,17.28,19.79,0,1,1,9.900909091
2018-11-26,10.3275,14.73,0,3,0,9.606666667,10.525,18.79,2,0,8.85,12.53,17.88,19.7,0,1,1,10.70375
2018-12-03,9.953333333,14.23333333,6.89,3,1,9.27,10.465,17.81,2,6.89,8.07,12.84,17.6,18.02,1,1,1,10.06769231
2018-12-10,10.095,13.715,0,2,0,9.595,7.82,17.87,2,0,8.98,0,17.04,18.7,0,1,1,10.06818182
2018-12-17,11.78,15.56333333,0,3,0,9.446666667,11.54,19.11,2,0,8.76,14.71,18.51,19.71,0,1,1,10.9
2018-12-24,9.788333333,12.25,0,4,0,9.033333333,10.3,15.59,2,0,8.6,12.54,14.9,16.28,0,1,1,10.01
2018-12-31,8.72,9.805,6.49,2,1,9.666666667,8.17,0,0,6.49,10.14,0,0,0,1,0,0,8.318888889
2019-01-07,8.14,13.13333333,0,3,0,9.08,10.36,15.56,1,0,8.37,12.81,0,15.56,0,0,1,9.382727273
2019-01-14,10.636,14.21666667,6.87,3,1,10.02333333,10.165,17.97,2,6.87,8.27,12.07,17.67,18.27,1,1,1,10.59083333
2019-01-21,9.562,22.72,0,1,0,8.686666667,7.91,20.025,2,0,8.47,0,17.33,22.72,0,1,1,10.588
2019-01-28,10.462,13.795,0,2,0,7.966666667,7.94,19.235,2,0,8.58,0,18.86,19.61,0,1,1,10.13636364
2019-02-04,8.6875,0,0,0,0,7.565,8.19,0,0,0,8.14,0,0,0,0,0,0,8.348
2019-02-11,9.626,12.815,0,4,0,8.49,10.455,16.415,2,0,7.54,12.96,14.99,17.84,0,1,1,9.6
2019-02-18,8.5625,21.34,7.22,1,1,7.555,8.39,21.34,1,7.22,7.66,0,0,21.34,1,0,1,9.314444444
2019-02-25,11.4625,13.40666667,6.64,3,1,9.43,10.875,17.2,2,6.64,7.93,12.26,17.37,17.03,1,1,1,10.25636364
2019-03-04,11.125,12.92,0,3,0,8.39,8.63,18.985,2,0,8.83,0,18.25,19.72,0,1,1,9.562307692
2019-03-11,10.72,12.9475,6.31,4,1,8.906666667,10.175,19.55,2,6.31,8,12.17,19.13,19.97,1,1,1,9.963571429
2019-03-18,10.54,16.245,0,2,0,9.573333333,9.11,18.535,2,0,8.05,0,17.69,19.38,0,1,1,10.75333333
2019-03-25,9.835,12.8,7.06,4,1,9.71,10.165,17.61,2,7.06,8.14,11.94,16.12,19.1,1,1,1,10.22769231
2019-04-01,9.666,13.55,6.81,3,1,8.576,9.98,16.17,2,6.81,8.09,12.08,14.72,17.62,1,1,1,9.3825
2019-04-08,8.43,20.93,6.93,1,1,7.845,7.69,20.93,1,6.93,8.18,0,0,20.93,1,0,1,9.361111111
2019-04-15,9.45,9.835,0,2,0,8.83,8.47,12.11,1,0,8.33,0,12.11,0,0,1,0,8.865
2019-04-22,10.246,19.8,7.3,1,1,7.47,8.48,17.79,2,7.3,8.41,0,15.78,19.8,1,1,1,9.965
2019-04-29,9.645,13.11,8.4,3,1,8.4325,9.625,17.44,2,8.4,7.96,12.04,18.39,16.49,1,1,1,9.682142857
2019-05-06,8.56,14.565,0,2,0,8.653333333,8.02,18.14,1,0,7.65,0,0,18.14,0,0,1,9.326666667
2019-05-13,10.05833333,14.18,0,3,0,8.8975,7.9,19.325,2,0,8.16,0,17.5,21.15,0,1,1,10.11461538
2019-05-20,10.144,14.44,7,2,1,9.456666667,8.02,16.39,2,7,8.35,0,16.06,16.72,1,1,1,9.875454545
2019-05-27,9.763333333,14.83666667,6.66,3,1,9.74,10.095,18.25,2,6.66,8.16,12.49,15.8,20.7,1,1,1,10.255
2019-06-03,10.125,12.37,6.98,3,1,9.266666667,8.54,16.525,2,6.98,8.11,0,15.68,17.37,1,1,1,9.619090909
2019-06-10,9.561666667,13.15666667,0,3,0,8.493333333,10.03,15.99,2,0,7.96,12.35,15.78,16.2,0,1,1,9.496428571
2019-06-17,9.582,15.96,6.61,1,1,7.63,7.83,14.855,2,6.61,7.95,0,13.75,15.96,1,1,1,8.48
2019-06-24,10.33,12.6175,0,4,0,8.545,10.055,17.015,2,0,8.3,12.21,15.83,18.2,0,1,1,9.810769231
2019-07-01,9.541666667,18.55,7.21,1,1,7.485,7.57,16.13,2,7.21,8.01,0,13.71,18.55,1,1,1,9.439090909
2019-07-08,10.065,12.66,6.85,4,1,9.475,9.805,16.445,2,6.85,7.25,12.01,15.3,17.59,1,1,1,9.953846154
2019-07-15,9.965,13.11333333,6.56,3,1,9.53,7.58,18.29,2,6.56,7.9,0,16.5,20.08,1,1,1,10.222
2019-07-22,9.968,16.55,7.13,1,1,7.575,7.32,15.23,2,7.13,7.87,0,13.91,16.55,1,1,1,9.479
2019-07-29,8.971666667,19.63,5.99,1,1,7.74,7.31,17.065,2,5.99,7.99,0,14.5,19.63,1,1,1,9.103636364
2019-08-05,9.343333333,15.185,0,2,0,7.345,9.785,16.76,2,0,7.9,12.26,15.41,18.11,0,1,1,9.706363636
2019-08-12,9.99,12.14,6.68,1,1,8.73,7.52,15.09,1,6.68,7.36,0,15.09,0,1,1,0,8.65625
2019-08-19,10.512,13.96333333,6.37,3,1,8.583333333,9.9,17.42,2,6.37,8,12.36,16.6,18.24,1,1,1,9.661538462
2019-08-26,9.788,12.3925,6.76,4,1,9.67,10.155,17.025,2,6.76,8.01,12.4,17.14,16.91,1,1,1,9.584285714
2019-09-02,9.018,10.98,6.69,3,1,9.056666667,7.59,11.315,2,6.69,7.91,0,10.21,12.42,1,1,1,8.721666667
2019-09-09,8.0875,14.03,6.98,2,1,7.966666667,7.09,19.69,1,6.98,7.53,0,0,19.69,1,0,1,9.004
2019-09-16,8.85,13.39666667,0,3,0,8.716666667,9.73,14.25,2,0,8.24,12.07,11.57,16.93,0,1,1,9.188333333
2019-09-23,9.55,14.12,6.4,3,1,7.835,9.49,17.965,2,6.4,7.72,11.86,16.25,19.68,1,1,1,9.565
2019-09-30,8.184,0,0,0,0,7.65,7.25,0,0,0,8.5,0,0,0,0,0,0,7.76
2019-10-07,8.58,18.21,0,1,0,8.21,7.15,18.21,1,0,7.62,0,0,18.21,0,0,1,9.591666667
2019-10-14,10.141,20.12,7.17,1,1,8.045,7.19,18.67,2,7.17,7.77,0,17.22,20.12,1,1,1,10.0235
2019-10-21,10.04,12.9425,7.23,4,1,9.066666667,9.72,17.405,2,7.23,8.2,12.29,15.34,19.47,1,1,1,10.01384615
2019-10-28,9.412,15.93,6.7,1,1,7.49,8.01,15,2,6.7,7.98,0,14.07,15.93,1,1,1,9.099
2019-11-04,10.19333333,17.98,0,1,0,7.316666667,7.61,16.06,2,0,8.83,0,14.14,17.98,0,1,1,9.49625
2019-11-11,9.273333333,13.91,0,2,0,7.493333333,7.44,19.27,1,0,8.22,0,0,19.27,0,0,1,9.145555556
2019-11-18,8.88,14.22,0,2,0,7.723333333,9.89,14.725,2,0,8.33,11.89,12.9,16.55,0,1,1,9.283333333
2019-11-25,9.91,15.96,0,2,0,8.896666667,7.6,17.955,2,0,8.04,0,15.45,20.46,0,1,1,10.318
2019-12-02,10.312,13.16,0,3,0,9.17,7.8,17.88,2,0,8.46,0,14.71,21.05,0,1,1,10.48181818
2019-12-09,9.576,12.48666667,6.46,3,1,9.095,9.41,14.84,2,6.46,8.65,0,11.43,18.25,1,1,1,9.371538462
2019-12-16,10.25666667,13.08,0,2,0,8.795,8.16,14.82,2,0,8.37,0,16.78,12.86,0,1,1,9.603333333
2019-12-23,10.005,13.325,0,2,0,8.185,7.49,17.115,2,0,8.88,0,15.78,18.45,0,1,1,9.443333333
2019-12-30,9.3225,15.09,0,3,0,8.5725,9.955,17.55,2,0,8.35,12.21,13.95,21.15,0,1,1,10.09181818
2020-01-06,8.902,11.57,0,3,0,8.4875,7.37,12.41,2,0,8.25,0,9.69,15.13,0,1,1,8.616153846
2020-01-13,8.743333333,12.15,6.75,2,1,9.935,10.005,10.2,1,6.75,8.27,12.7,10.2,0,1,1,0,8.795454545
2020-01-20,8.92,11.66,0,1,0,8.356,7.71,11.18,1,0,8.22,0,11.18,0,0,1,0,8.5175
2020-01-27,8.928,13.74,0,3,0,9.383333333,8.48,20.35,1,0,8.92,0,0,20.35,0,0,1,9.947
2020-02-03,10.28166667,14.88,0,3,0,9.853333333,10.375,17.88,2,0,8.98,12.26,16.59,19.17,0,1,1,10.26153846
2020-02-10,10.84,12.8375,6.45,4,1,9.785,11.575,17.425,2,6.45,8.39,12.25,14.67,20.18,1,1,1,10.56545455
2020-02-17,8.83,9.99,0,1,0,9.63,8.3,0,0,0,9.27,0,0,0,0,0,0,8.05625
2020-02-24,9.033333333,12.76666667,6.43,3,1,10.09,8.46,18.64,1,6.43,9.06,0,0,18.64,1,0,1,9.404444444
2020-03-02,10.138,19.83,5.97,1,1,8.09,8.68,16.385,2,5.97,8.26,0,12.94,19.83,1,1,1,9.360833333
2020-03-09,9.245,13.72833333,6.61,3,1,9.175,10.26,14.24,2,6.61,8.31,12.57,11.16,17.32,1,1,1,9.575769231
2020-03-16,8.636666667,22.76,7.02,1,1,7.545,7.98,22.76,1,7.02,8.31,0,0,22.76,1,0,1,9.42875
2020-03-23,9.466666667,14.68,6.4,3,1,8.505,10.035,20.3,1,6.4,8.73,12.27,0,20.3,1,0,1,9.501818182
2020-03-30,8.503333333,14.89666667,6.55,3,1,8.7125,10.485,20.41,1,6.55,9.27,12.62,0,20.41,1,0,1,9.376363636
2020-04-06,10.6875,14.54,6.68,3,1,9.05,10.075,15.86,2,6.68,8.91,12.7,13.25,18.47,1,1,1,10.34818182
2020-04-13,10.92,15.50666667,6.12,3,1,8.5875,10.5,19.115,2,6.12,8.66,12.31,15.48,22.75,1,1,1,10.27833333
2020-04-20,8.465,12.595,6.13,2,1,8.925,10.665,0,0,6.13,8.88,13.28,0,0,1,0,0,8.587777778
2020-04-27,12.0325,13.69,0,3,0,10.38,10.925,16.59,2,0,8.52,12.95,17.3,15.88,0,1,1,11.91125
