reg_date,vietnam_p,"freeze,boneless_p","freeze,boneless,boil,pack_p","freeze,boneless,boil,pack_c","vietnam_freeze,boneless,boil,pack_p","thailand_freeze,boneless,boil,pack_p","vietnam_freeze,boneless,boil,pack_c","thailand_freeze,boneless,boil,pack_c",p_price
2017-02-13,11,9.73,17.74,2,17.83,17.65,1,1,10.504
2017-02-20,12.12666667,9.403333333,21.675,2,18.34,25.01,1,1,11.50277778
2017-02-27,8.7,9.79,0,0,0,0,0,0,9.36
2017-03-06,10.956,10.83,21.735,2,18.57,24.9,1,1,11.76
2017-03-13,10.232,9.0325,17.62,2,17.49,17.75,1,1,10.47833333
2017-03-20,11.232,10.4475,19.32,2,18.32,20.32,1,1,10.93785714
2017-03-27,11.07,11.6,18.09,2,14.58,21.6,1,1,11.07166667
2017-04-03,10.886,9.763333333,17.615,2,18.13,17.1,1,1,10.54272727
2017-04-10,11.31,10.14666667,17.835,2,18.12,17.55,1,1,10.95666667
2017-04-17,11.476,11.49,16.79,2,18.28,15.3,1,1,11.07625
2017-04-24,10.91333333,9.953333333,18.865,2,17.42,20.31,1,1,11.54727273
2017-05-01,11.46,9.15,19.26,1,19.26,0,1,0,10.78
2017-05-08,9.4825,10.22,20.23,1,0,20.23,0,1,10.33076923
2017-05-15,11.874,9.58,18.91,2,18.12,19.7,1,1,11.55222222
2017-05-22,10.46,10.18333333,22.655,2,18.51,26.8,1,1,11.36153846
2017-05-29,10.816,9.925,18.47,2,17.8,19.14,1,1,10.59785714
2017-06-05,11.71,10.45333333,20.49,2,18.08,22.9,1,1,11.18384615
2017-06-12,11.062,10.17333333,19.355,2,17.48,21.23,1,1,11.06923077
2017-06-19,10.904,10.06333333,18.865,2,18.16,19.57,1,1,11.02166667
2017-06-26,10.636,9.876666667,18.94,2,17.9,19.98,1,1,10.31769231
2017-07-03,10.786,9.615,18.625,2,18.31,18.94,1,1,10.57857143
2017-07-10,9.2475,10.16333333,15.92,1,0,15.92,0,1,10.06181818
2017-07-17,11.174,9.376666667,17.33,2,16.43,18.23,1,1,10.91083333
2017-07-24,10.846,9.983333333,17.955,2,17.39,18.52,1,1,11.637
2017-07-31,11.704,10.18,19.495,2,19.16,19.83,1,1,11.18909091
2017-08-07,10.44833333,9.4275,19.07,2,18.84,19.3,1,1,10.39785714
2017-08-14,10.766,11.01,20.065,2,17.75,22.38,1,1,11.23
2017-08-21,10.62333333,9.8,18.63,2,18.27,18.99,1,1,10.21714286
2017-08-28,9.1675,10.035,21.11,1,0,21.11,0,1,9.866666667
2017-09-04,11.472,9.866666667,18.515,2,18.41,18.62,1,1,10.79615385
2017-09-11,11.07166667,11.155,18.7,2,19.62,17.78,1,1,11.07833333
2017-09-18,11.674,9.99,18.025,2,19.19,16.86,1,1,10.78230769
2017-09-25,11.332,9.4525,19.605,2,17.96,21.25,1,1,10.93846154
2017-10-09,11.282,9.35,18.735,2,17.55,19.92,1,1,10.87833333
2017-10-16,10.76833333,9.893333333,19.76,2,18.27,21.25,1,1,11.04769231
2017-10-23,11.478,11.02333333,18.865,2,18.11,19.62,1,1,10.83571429
2017-10-30,11.4,9.9225,19.155,2,18.84,19.47,1,1,10.68461538
2017-11-06,11.068,9.793333333,18.765,2,17.59,19.94,1,1,11.37727273
2017-11-13,11.22666667,9.876666667,18.56,2,19.42,17.7,1,1,10.96384615
2017-11-20,10.928,9.996666667,20.23,2,17.87,22.59,1,1,10.96
2017-11-27,11.404,9.886,19.45,2,18.01,20.89,1,1,10.89333333
2017-12-04,11.35,9.76,20.515,2,19.74,21.29,1,1,11.53363636
2017-12-11,10.775,8.6775,19.55,2,18.64,20.46,1,1,10.63409091
2017-12-18,11.085,9.51,19.11,2,18.73,19.49,1,1,11.02384615
2017-12-25,10.74333333,8.725,18.825,2,18,19.65,1,1,10.756
2018-01-01,10.8325,9.7525,17.91,1,17.91,0,1,0,9.8625
2018-01-08,9.098,10.91333333,17.97,1,0,17.97,0,1,10.05545455
2018-01-15,11.344,11.475,18.28,2,17.06,19.5,1,1,11.01
2018-01-22,11.886,10.4025,19.615,2,19.93,19.3,1,1,11.53181818
2018-01-29,12.065,9.686,18.33,2,18.05,18.61,1,1,10.68785714
2018-02-05,11.556,8.995,20.275,2,19.42,21.13,1,1,10.68545455
2018-02-12,11.352,9.38,18.44,1,18.44,0,1,0,10.426
2018-02-19,11.164,9.625,18.03,2,17.55,18.51,1,1,10.75538462
2018-02-26,9.47,8.775,21.81,1,0,21.81,0,1,9.499090909
2018-03-05,11.115,9.976666667,17.75,1,17.75,0,1,0,10.18
2018-03-12,11.282,10.17,18.425,2,17.95,18.9,1,1,11.13666667
2018-03-19,11.324,8.78,20.21,2,18.85,21.57,1,1,11.041
2018-03-26,11.12,9.5,18.995,2,18.48,19.51,1,1,10.29285714
2018-04-02,11.248,10.2,18.61,2,18.26,18.96,1,1,11.24454545
2018-04-09,10.77,10.65333333,19.275,2,18.45,20.1,1,1,11.29583333
2018-04-16,11.13,9.023333333,17.095,2,15.16,19.03,1,1,10.12384615
2018-04-23,11.156,11.24,19.525,2,17.65,21.4,1,1,11.09545455
2018-04-30,11.845,10.585,19.95,2,19.22,20.68,1,1,12.6875
2018-05-07,12.3175,10.43,18.275,2,18.73,17.82,1,1,12.009
2018-05-14,11.075,9.78,18.175,2,14.89,21.46,1,1,11.07
2018-05-21,11.8,7.94,18.6,2,18.25,18.95,1,1,11.19142857
2018-05-28,10.77,8.7975,19.095,2,16.72,21.47,1,1,10.96
2018-06-04,11.8075,9.83,20.025,2,18.52,21.53,1,1,11.703
2018-06-11,12.5625,9.8525,19.995,2,19.76,20.23,1,1,12.67666667
2018-06-18,11.4125,10.175,18.92,2,18.68,19.16,1,1,11.31
2018-06-25,11.08,7.99,20.435,2,18.35,22.52,1,1,10.95333333
2018-07-02,10.74,9.708333333,17.925,2,13.6,22.25,1,1,11.2685
2018-07-09,10.8775,10.45,18.89,2,16.25,21.53,1,1,11.22277778
2018-07-16,12.025,10.685,19.69,2,18.59,20.79,1,1,10.83
2018-07-23,11.9925,10.365,19.53,2,19.09,19.97,1,1,11.44777778
2018-07-30,11.9075,9.1925,19.055,2,18.75,19.36,1,1,10.59928571
2018-08-06,11.82,8.41,18.73,1,18.73,0,1,0,9.118571429
2018-08-13,11.2975,7.935,17.98,2,17.69,18.27,1,1,10.2245
2018-08-20,10.212,8.88,19.095,2,18.56,19.63,1,1,10.38076923
2018-08-27,11.765,7.576666667,19.58,2,18.76,20.4,1,1,10.392
2018-09-03,11.495,10.415,17.715,2,17.27,18.16,1,1,10.57090909
2018-09-10,10.91,9.12,18.01,2,15.41,20.61,1,1,10.98090909
2018-09-17,12.07,9.5325,19.74,2,19.67,19.81,1,1,11.19
2018-09-24,11.6,9.12,20.845,2,17.84,23.85,1,1,13.106
2018-10-01,10.852,8.6775,16.75,2,16.79,16.71,1,1,9.806153846
2018-10-08,10.358,8.025,17.81,2,17.61,18.01,1,1,10.21
2018-10-15,10.998,8.983333333,19.445,2,18.86,20.03,1,1,10.92909091
2018-10-22,10.922,8.7625,19.565,2,18.42,20.71,1,1,10.25214286
2018-10-29,11.042,8.99,19.5,2,18.63,20.37,1,1,9.989166667
2018-11-05,10.584,8.43,16.925,2,17.83,16.02,1,1,9.758
2018-11-12,10.385,8.853333333,18.18,2,18.64,17.72,1,1,9.968333333
2018-11-19,10.115,7.746666667,18.535,2,17.28,19.79,1,1,9.900909091
2018-11-26,10.3275,9.606666667,18.79,2,17.88,19.7,1,1,10.70375
2018-12-03,9.953333333,9.27,17.81,2,17.6,18.02,1,1,10.06769231
2018-12-10,10.095,9.595,17.87,2,17.04,18.7,1,1,10.06818182
2018-12-17,11.78,9.446666667,19.11,2,18.51,19.71,1,1,10.9
2018-12-24,9.788333333,9.033333333,15.59,2,14.9,16.28,1,1,10.01
2018-12-31,8.72,9.666666667,0,0,0,0,0,0,8.318888889
2019-01-07,8.14,9.08,15.56,1,0,15.56,0,1,9.382727273
2019-01-14,10.636,10.02333333,17.97,2,17.67,18.27,1,1,10.59083333
2019-01-21,9.562,8.686666667,20.025,2,17.33,22.72,1,1,10.588
2019-01-28,10.462,7.966666667,19.235,2,18.86,19.61,1,1,10.13636364
2019-02-04,8.6875,7.565,0,0,0,0,0,0,8.348
2019-02-11,9.626,8.49,16.415,2,14.99,17.84,1,1,9.6
2019-02-18,8.5625,7.555,21.34,1,0,21.34,0,1,9.314444444
2019-02-25,11.4625,9.43,17.2,2,17.37,17.03,1,1,10.25636364
2019-03-04,11.125,8.39,18.985,2,18.25,19.72,1,1,9.562307692
2019-03-11,10.72,8.906666667,19.55,2,19.13,19.97,1,1,9.963571429
2019-03-18,10.54,9.573333333,18.535,2,17.69,19.38,1,1,10.75333333
2019-03-25,9.835,9.71,17.61,2,16.12,19.1,1,1,10.22769231
2019-04-01,9.666,8.576,16.17,2,14.72,17.62,1,1,9.3825
2019-04-08,8.43,7.845,20.93,1,0,20.93,0,1,9.361111111
2019-04-15,9.45,8.83,12.11,1,12.11,0,1,0,8.865
2019-04-22,10.246,7.47,17.79,2,15.78,19.8,1,1,9.965
2019-04-29,9.645,8.4325,17.44,2,18.39,16.49,1,1,9.682142857
2019-05-06,8.56,8.653333333,18.14,1,0,18.14,0,1,9.326666667
2019-05-13,10.05833333,8.8975,19.325,2,17.5,21.15,1,1,10.11461538
2019-05-20,10.144,9.456666667,16.39,2,16.06,16.72,1,1,9.875454545
2019-05-27,9.763333333,9.74,18.25,2,15.8,20.7,1,1,10.255
2019-06-03,10.125,9.266666667,16.525,2,15.68,17.37,1,1,9.619090909
2019-06-10,9.561666667,8.493333333,15.99,2,15.78,16.2,1,1,9.496428571
2019-06-17,9.582,7.63,14.855,2,13.75,15.96,1,1,8.48
2019-06-24,10.33,8.545,17.015,2,15.83,18.2,1,1,9.810769231
2019-07-01,9.541666667,7.485,16.13,2,13.71,18.55,1,1,9.439090909
2019-07-08,10.065,9.475,16.445,2,15.3,17.59,1,1,9.953846154
2019-07-15,9.965,9.53,18.29,2,16.5,20.08,1,1,10.222
2019-07-22,9.968,7.575,15.23,2,13.91,16.55,1,1,9.479
2019-07-29,8.971666667,7.74,17.065,2,14.5,19.63,1,1,9.103636364
2019-08-05,9.343333333,7.345,16.76,2,15.41,18.11,1,1,9.706363636
2019-08-12,9.99,8.73,15.09,1,15.09,0,1,0,8.65625
2019-08-19,10.512,8.583333333,17.42,2,16.6,18.24,1,1,9.661538462
2019-08-26,9.788,9.67,17.025,2,17.14,16.91,1,1,9.584285714
2019-09-02,9.018,9.056666667,11.315,2,10.21,12.42,1,1,8.721666667
2019-09-09,8.0875,7.966666667,19.69,1,0,19.69,0,1,9.004
2019-09-16,8.85,8.716666667,14.25,2,11.57,16.93,1,1,9.188333333
2019-09-23,9.55,7.835,17.965,2,16.25,19.68,1,1,9.565
2019-09-30,8.184,7.65,0,0,0,0,0,0,7.76
2019-10-07,8.58,8.21,18.21,1,0,18.21,0,1,9.591666667
2019-10-14,10.141,8.045,18.67,2,17.22,20.12,1,1,10.0235
2019-10-21,10.04,9.066666667,17.405,2,15.34,19.47,1,1,10.01384615
2019-10-28,9.412,7.49,15,2,14.07,15.93,1,1,9.099
2019-11-04,10.19333333,7.316666667,16.06,2,14.14,17.98,1,1,9.49625
2019-11-11,9.273333333,7.493333333,19.27,1,0,19.27,0,1,9.145555556
2019-11-18,8.88,7.723333333,14.725,2,12.9,16.55,1,1,9.283333333
2019-11-25,9.91,8.896666667,17.955,2,15.45,20.46,1,1,10.318
2019-12-02,10.312,9.17,17.88,2,14.71,21.05,1,1,10.48181818
2019-12-09,9.576,9.095,14.84,2,11.43,18.25,1,1,9.371538462
2019-12-16,10.25666667,8.795,14.82,2,16.78,12.86,1,1,9.603333333
2019-12-23,10.005,8.185,17.115,2,15.78,18.45,1,1,9.443333333
2019-12-30,9.3225,8.5725,17.55,2,13.95,21.15,1,1,10.09181818
2020-01-06,8.902,8.4875,12.41,2,9.69,15.13,1,1,8.616153846
2020-01-13,8.743333333,9.935,10.2,1,10.2,0,1,0,8.795454545
2020-01-20,8.92,8.356,11.18,1,11.18,0,1,0,8.5175
2020-01-27,8.928,9.383333333,20.35,1,0,20.35,0,1,9.947
2020-02-03,10.28166667,9.853333333,17.88,2,16.59,19.17,1,1,10.26153846
2020-02-10,10.84,9.785,17.425,2,14.67,20.18,1,1,10.56545455
2020-02-17,8.83,9.63,0,0,0,0,0,0,8.05625
2020-02-24,9.033333333,10.09,18.64,1,0,18.64,0,1,9.404444444
2020-03-02,10.138,8.09,16.385,2,12.94,19.83,1,1,9.360833333
2020-03-09,9.245,9.175,14.24,2,11.16,17.32,1,1,9.575769231
2020-03-16,8.636666667,7.545,22.76,1,0,22.76,0,1,9.42875
2020-03-23,9.466666667,8.505,20.3,1,0,20.3,0,1,9.501818182
2020-03-30,8.503333333,8.7125,20.41,1,0,20.41,0,1,9.376363636
2020-04-06,10.6875,9.05,15.86,2,13.25,18.47,1,1,10.34818182
2020-04-13,10.92,8.5875,19.115,2,15.48,22.75,1,1,10.27833333
2020-04-20,8.465,8.925,0,0,0,0,0,0,8.587777778
2020-04-27,12.0325,10.38,16.59,2,17.3,15.88,1,1,11.91125
2020-05-04,9.006666667,9.096666667,12.985,2,12.1,13.87,1,1,9.475555556
2020-05-11,11.1675,10.325,15.245,2,13.39,17.1,1,1,11.03888889
2020-05-18,11.595,9.046666667,19.585,2,19.21,19.96,1,1,10.64272727
2020-05-25,10.07666667,9.205,22.03,1,0,22.03,0,1,9.886
2020-06-01,10.25333333,10.485,16.025,2,13.81,18.24,1,1,9.901
2020-06-08,9.405,8.08,13.905,2,10.05,17.76,1,1,9.471
2020-06-15,10.31,9.083333333,16.705,2,14.69,18.72,1,1,9.918461538
2020-06-22,9.84,9.98,13.65,1,13.65,0,1,0,8.59
2020-06-29,9.756666667,8.73,17.87,1,0,17.87,0,1,9.595
2020-07-06,11.43333333,8.246666667,19.19,2,15.83,22.55,1,1,10.32444444
2020-07-13,10.472,8.07,17.33,2,16.68,17.98,1,1,9.387272727
2020-07-20,10.062,9.86,17.35,2,19.03,15.67,1,1,9.066666667
2020-07-27,11.77875,9.633333333,18.2275,2,17.565,18.89,1,1,11.15388889
2020-08-03,8.6025,8.346666667,19.84,1,0,19.84,0,1,9.108181818
2020-08-10,8.64,8.755,18.98,1,0,18.98,0,1,9.521666667
2020-08-17,9.856666667,10.495,19.315,1,0,19.315,0,1,9.869444444
2020-08-24,9.94,9.07,17.875,2,16.1,19.65,1,1,9.723636364
2020-08-31,9.493333333,9.476666667,0,0,0,0,0,0,9.575555556
2020-09-07,10.32,9.635,18.03,1,0,18.03,0,1,10.18
2020-09-14,8.14,9.303333333,19.62,1,0,19.62,0,1,9.535
2020-09-21,11.3725,10.595,16.325,2,14.45,18.2,1,1,10.599
2020-09-28,7.3,8.7,17.33,1,0,17.33,0,1,8.941428571
2020-10-05,10.81833333,9.28,17.8975,2,16.295,19.5,1,1,10.0535
2020-10-12,11.11,9.92,17.64,2,18.14,17.14,1,1,10.194
2020-10-19,8.8,8.533333333,19.2,1,0,19.2,0,1,9.042
2020-10-26,9.738,9.85,16.245,2,14.12,18.37,1,1,10.35272727
2020-11-02,12.4425,9.796666667,17.775,2,19.73,15.82,1,1,10.0475
2020-11-09,11.97,10.55,19.46,1,19.46,0,1,0,9.737142857
2020-11-16,8.055,9.89,19.61,1,0,19.61,0,1,9.913333333
2020-11-23,11.92333333,9.39,17.65,2,19.19,16.11,1,1,10.625
2020-11-30,10.06333333,11.695,0,0,0,0,0,0,8.764285714
2020-12-07,10.37666667,9.315,14.855,2,15.78,13.93,1,1,9.614
2020-12-14,10.15333333,8.963333333,15.8,2,14.61,16.99,1,1,9.702
2020-12-21,9.136666667,10.48333333,17.44,1,0,17.44,0,1,9.889
2020-12-28,11.395,8.54,18.905,2,16.77,21.04,1,1,10.78272727
