,REG_DATE,¿⁄ªÁ¡¶«∞¡¶¡∂øÎ ≥√¿Â,"¿⁄ªÁ¡¶«∞¡¶¡∂øÎ ≥√¿Â,∆˜¿Â»Ω∞®,« ∑ø(F)","¿⁄ªÁ¡¶«∞¡¶¡∂øÎ ≥√¿Â,« ∑ø(F)",∆«∏≈øÎ ≥√¿Â,"∆«∏≈øÎ ≥√¿Â,∆˜¿Â»Ω∞®,« ∑ø(F)","∆«∏≈øÎ ≥√¿Â,« ∑ø(F)","∆«∏≈øÎ ≥√¿Â,« ∑ø(F),»Ω∞®",c¿⁄ªÁ¡¶«∞¡¶¡∂øÎ ≥√¿Â,"c¿⁄ªÁ¡¶«∞¡¶¡∂øÎ ≥√¿Â,∆˜¿Â»Ω∞®,« ∑ø(F)","c¿⁄ªÁ¡¶«∞¡¶¡∂øÎ ≥√¿Â,« ∑ø(F)",c∆«∏≈øÎ ≥√¿Â,"c∆«∏≈øÎ ≥√¿Â,∆˜¿Â»Ω∞®,« ∑ø(F)","c∆«∏≈øÎ ≥√¿Â,« ∑ø(F)","c∆«∏≈øÎ ≥√¿Â,« ∑ø(F),»Ω∞®",,,,,,WEEKCOUNT,µŒπŸ¿Ã¿Ø,MONTH,MONTH_MEAN,P_PRICE
75,2017-06-05,10.41,15.495,16.49,10.39,29.07,13.7,16.73,1,0,1,2,1,1,1,,,,,,7,48.25,6,14.82230442,15.31142857
76,2017-06-12,10.47,15.495,16.39,10.725,29.57,13.7,16.68,1,0,1,2,1,1,1,,,,,,7,47.48,6,14.82230442,15.46571429
77,2017-06-19,10.46,15.495,16.42,11.895,29.2,13.67,16.54,1,0,1,2,1,1,1,,,,,,7,46.55,6,14.82230442,15.72571429
78,2017-06-26,10.47,15.495,16.38,11.08,29.06,13.63,16.6,0,0,1,2,1,1,1,,,,,,6,46.25,6,14.82230442,16.305
79,2017-07-03,10.47,15.495,16.47,9.795,32.81,13.61,16.52,1,0,1,2,1,1,1,,,,,,7,48.54,7,14.63846877,15.63857143
80,2017-07-10,10.52,15.495,16.52,9.876666667,29.55,13.58,16.33,1,0,1,3,1,1,1,,,,,,8,46.03,7,14.63846877,14.51625
81,2017-07-17,10.9,15.495,16.43,10.40666667,29.34,13.94,16.24,1,0,1,3,1,1,1,,,,,,8,46.98,7,14.63846877,14.75875
82,2017-07-24,11.17,15.495,16.15,10.64,29.7,12.6,16.26,1,0,1,2,1,1,1,,,,,,7,47.11,7,14.63846877,15.30857143
83,2017-07-31,10.85,15.495,15.81,10.26333333,29.36,12.73,15.91,1,0,1,3,1,1,1,,,,,,8,47.57,7,14.63846877,14.43125
84,2017-08-07,10.62,15.495,16.11,11,29.8,12.48,15.5,1,0,1,1,1,1,1,,,,,,6,51,8,14.40944084,15.91833333
85,2017-08-14,10.39,15.495,15.81,10.25666667,30.14,13.37,15.16,1,0,1,3,1,1,1,,,,,,8,49.85,8,14.40944084,14.455
86,2017-08-21,9.86,15.495,15.52,9.975,29.48,13.4,14.7,1,0,1,2,1,1,1,,,,,,7,50.09,8,14.40944084,14.70142857
87,2017-08-28,10.46,15.495,16.7,9.91,30.33,13.6,14.7,1,0,1,2,1,1,1,,,,,,7,50.24,8,14.40944084,15.08714286
88,2017-09-04,11.27,15.495,15.34,9.87,29.05,13.28,14.74,1,0,1,2,1,1,1,,,,,,7,51.49,9,14.18596372,14.77428571
89,2017-09-11,11.36,15.495,15.94,10.72,30.17,13.51,13.5,1,0,1,1,1,1,1,,,,,,6,52.35,9,14.18596372,15.86666667
90,2017-09-18,10.01,15.495,16.16,10.12,29.73,13.18,14.5,1,0,1,2,1,1,1,,,,,,7,53.25,9,14.18596372,14.83142857
91,2017-09-25,10.2,15.495,15.52,10.625,30.56,13.07,14.77,1,0,1,2,1,1,1,,,,,,7,53.92,9,14.18596372,15.05285714
92,2017-10-02,9.92,15.495,15.44,10.47,29.93,14.56,14.68,0,0,1,1,0,1,0,,,,,,3,54.72,10,14.18298344,13.49
93,2017-10-09,9.64,15.495,15.84,9.7,29.29,14.32,14.58,1,0,1,1,1,1,1,,,,,,6,54.1,10,14.18298344,15.56166667
94,2017-10-16,9.39,15.495,15.32,9.61,30.69,14.05,14.69,1,0,1,1,1,1,1,,,,,,6,55.34,10,14.18298344,15.625
95,2017-10-23,9.69,15.495,15.61,9.41,28.54,14.22,14.68,1,0,1,2,1,1,1,,,,,,7,55.14,10,14.18298344,14.50857143
96,2017-10-30,8.93,15.495,15,8.97,28.24,14.03,14.28,1,0,1,1,1,1,1,,,,,,6,55.54,10,14.18298344,14.90833333
97,2017-11-06,8.3,15.495,14.94,8.15,29.22,13.83,13.11,1,0,1,1,1,1,1,,,,,,6,61.83,11,13.75146674,14.59166667
98,2017-11-13,8.18,15.495,14.46,8.49,29.61,11.48,13.66,1,0,1,2,1,1,1,,,,,,7,61.18,11,13.75146674,13.48142857
99,2017-11-20,8.6,15.495,15.36,8.34,29.64,11.24,12.51,1,0,1,1,1,1,1,,,,,,6,60.55,11,13.75146674,14.28166667
100,2017-11-27,7.57,15.495,15.98,8.02,29.35,13.82,11.12,1,0,1,2,1,1,1,,,,,,7,60.88,11,13.75146674,13.41142857
101,2017-12-04,8.16,15.495,14.94,8.09,29.38,13.92,11.37,1,0,1,1,1,1,1,,,,,,6,60.02,12,14.65093357,14.31
102,2017-12-11,8.5,15.495,15.32,8.49,33.61,13.46,11.55,1,0,1,1,1,1,1,,,,,,6,61.62,12,14.65093357,15.155
103,2017-12-18,8.47,15.495,14.74,8.74,29.31,14.25,11.87,1,0,1,1,1,1,1,,,,,,6,60.8,12,14.65093357,14.56333333
104,2017-12-25,9.1,15.495,14.61,9.14,28.27,14.09,12.3,1,0,1,1,1,1,1,,,,,,6,61.15,12,14.65093357,14.585
105,2018-01-01,9.62,15.495,15.62,9.41,28.27,14.02,12.83,1,0,1,1,0,1,0,,,,,,4,61.6,1,14.955954,12.1675
106,2018-01-08,9.56,15.495,16.04,9.85,28.27,13.54,13.36,1,0,1,1,1,1,1,,,,,,6,65.09,1,14.955954,15.10333333
107,2018-01-15,9.24,15.495,15.83,9.59,29.23,10.98,13.43,1,0,1,1,1,1,1,,,,,,6,66.36,1,14.955954,14.71666667
108,2018-01-22,9.61,15.495,15.89,9.77,28.34,11.73,13.42,1,0,1,2,1,1,1,,,,,,7,65.97,1,14.955954,14.07571429
109,2018-01-29,9.87,15.495,15.28,9.88,28.32,13.63,14,1,0,1,1,1,1,1,,,,,,6,66.23,1,14.955954,15.16333333
110,2018-02-05,9.72,15.495,15.27,9.91,28.31,13.68,14.05,1,0,1,1,1,1,1,,,,,,6,64.99,2,14.39166667,15.15666667
111,2018-02-12,9.44,15.495,14.76,9.88,28.32,11.43,13.99,1,0,1,1,1,1,1,,,,,,6,61.16,2,14.39166667,14.63666667
112,2018-02-19,10.59,15.495,14.89,10.08,28.31,13.59,14.48,1,0,1,2,1,1,1,,,,,,7,62.28,2,14.39166667,14.57428571
113,2018-02-26,10.65,15.495,15.33,10.53,28.25,13.87,14.86,1,0,1,2,1,1,1,,,,,,7,62.75,2,14.39166667,14.86
114,2018-03-05,11.47,15.495,15.84,10.83,28.28,14.09,14.86,1,0,1,2,1,1,1,,,,,,7,61.94,3,14.78056406,15.17142857
115,2018-03-12,11.54,15.495,15.99,11.12,29.76,14.17,15.47,1,0,1,2,1,1,1,,,,,,7,61.32,3,14.78056406,15.59571429
116,2018-03-19,11.15,15.495,15.86,11.09,29.09,14.12,16.2,1,0,1,1,1,1,1,,,,,,6,61.86,3,14.78056406,16.25166667
117,2018-03-26,11.05,15.495,15.92,11.5,29.58,14.13,17.06,1,0,1,1,1,1,1,,,,,,6,62.77,3,14.78056406,16.54
118,2018-04-02,12.52,15.495,16.26,10.96,29.62,15.82,17.83,1,0,1,2,1,1,1,,,,,,7,64.62,4,14.86277705,16.28142857
119,2018-04-09,11.87,15.495,16.04,11.465,28.88,15.74,16.85,1,0,1,2,1,1,1,,,,,,7,65.83,4,14.86277705,16.04428571
120,2018-04-16,11.62,15.495,16.01,11.555,28.77,15.69,16.32,1,0,1,2,1,1,1,,,,,,7,67.25,4,14.86277705,15.93142857
121,2018-04-23,11.35,15.495,15.86,11.08,27.28,15.73,16,1,0,1,2,1,1,1,,,,,,7,68.41,4,14.86277705,15.48285714
122,2018-04-30,11.66,15.495,15.79,11.205,29.05,15.73,16.24,1,0,1,2,1,1,1,,,,,,7,68.27,4,14.86277705,15.84
123,2018-05-07,12.33,15.495,16.26,11.64,27.98,16.1,17.04,1,0,1,2,1,1,1,,,,,,7,72.83,5,14.71583875,16.14142857
124,2018-05-14,12.66,15.495,16.23,11.75,29,12.37,17.7,1,0,1,2,1,1,1,,,,,,7,74.02,5,14.71583875,15.92285714
125,2018-05-21,12.42,15.495,16.19,12.435,29,15.76,17.74,1,0,1,2,1,1,1,,,,,,7,74.79,5,14.71583875,16.56857143
126,2018-05-28,12.53,15.495,15.85,11.365,28.93,15.23,17.41,1,0,1,2,1,1,1,,,,,,7,74.45,5,14.71583875,16.09714286
127,2018-06-04,11.27,15.495,15.4,11.18,28.81,14.99,15.77,1,0,1,2,1,1,1,,,,,,7,73.15,6,14.82230442,15.51428571
128,2018-06-11,10.67,15.495,15.51,10.845,27.72,14.74,15.25,1,0,1,2,1,1,1,,,,,,7,74.37,6,14.82230442,15.08285714
129,2018-06-18,10.92,15.495,15.34,10.905,28.75,14.72,15.26,1,0,1,2,1,1,1,,,,,,7,73.49,6,14.82230442,15.25714286
130,2018-06-25,10.16,15.495,15.29,10.38,28.85,14.35,14.87,1,0,1,2,1,1,1,,,,,,7,73.15,6,14.82230442,14.89714286
131,2018-07-02,10.06,15.495,15.16,10.27,28.72,13.61,14.6,1,0,1,2,1,1,1,,,,,,7,74.33,7,14.63846877,14.67
132,2018-07-09,9.89,15.495,15.05,10.11,35.88,13.43,14.51,1,0,1,2,1,1,1,,,,,,7,75.08,7,14.63846877,15.56857143
133,2018-07-16,9.53,15.495,14.83,10.06,28.76,13.19,14.54,1,0,1,2,1,1,1,,,,,,7,72.01,7,14.63846877,14.42428571
134,2018-07-23,9.41,15.495,14.5,10.03,26.91,13.13,14.65,1,0,1,2,2,1,1,,,,,,8,72.67,7,14.63846877,15.69625
135,2018-07-30,9.89,15.495,15.25,10.19,29.06,13.14,14.28,1,0,1,2,1,1,1,,,,,,7,73.15,7,14.63846877,14.57142857
136,2018-08-06,9.83,15.495,14.93,10.14,28.93,13.56,14.81,1,0,1,1,1,1,1,,,,,,6,72.35,8,14.40944084,15.36666667
137,2018-08-13,10.37,15.495,14.66,10.31,27.055,13.77,14.42,1,0,1,2,2,1,1,,,,,,8,71.52,8,14.40944084,15.99375
138,2018-08-20,9.95,15.495,14.29,10.01,28.87,13.57,14.21,0,0,1,1,1,1,1,,,,,,5,71.18,8,14.40944084,16.19
139,2018-08-27,9.53,15.495,14.4,10.245,28.92,13.83,14.76,1,0,1,2,1,1,1,,,,,,7,72.45,8,14.40944084,14.56142857
140,2018-09-03,10.66,15.495,15.69,10.68,28.91,14.12,15.3,1,0,1,2,1,1,1,,,,,,7,72.49,9,14.18596372,15.14857143
141,2018-09-10,10.92,15.495,15.1,11.08,28.88,13.97,15.5,1,0,1,2,1,1,1,,,,,,7,75.56,9,14.18596372,15.21857143
142,2018-09-17,11.13,15.495,15.15,10.825,28.92,13.74,15.54,1,0,1,2,1,1,1,,,,,,7,76.06,9,14.18596372,15.16142857
143,2018-09-24,11.02,15.495,15.6,11.38,29.02,14.04,15.64,1,0,1,1,1,1,1,,,,,,6,77.02,9,14.18596372,16.11666667
144,2018-10-01,9.8,15.495,14.9,10.995,28.89,14.24,15.56,2,0,1,2,1,1,1,,,,,,8,82.82,10,14.18298344,14.3975
145,2018-10-08,10.5,15.495,15.05,10.845,28.98,14.3,15.29,1,0,1,2,1,1,1,,,,,,7,82.58,10,14.18298344,15.11571429
146,2018-10-15,9.945,15.495,14.9,10.87,27.81,14.53,15.41,2,0,1,3,1,1,1,,,,,,9,80.39,10,14.18298344,13.90555556
147,2018-10-22,9.675,15.495,15.2,10.83,28.98,14.4,15.45,2,0,1,1,1,1,1,,,,,,7,80.19,10,14.18298344,14.88714286
148,2018-10-29,9.895,15.495,15.53,10.5,29.01,14.39,15.26,2,0,1,1,1,1,1,,,,,,7,79.41,10,14.18298344,14.92571429
149,2018-11-05,9.56,15.495,14.8,10.38,29.31,14.1,15.07,1,0,1,1,1,1,1,,,,,,6,71.88,11,13.75146674,15.53666667
150,2018-11-12,9.63,15.495,14.56,10.25,29.12,13.87,15.37,2,0,1,1,1,1,1,,,,,,7,69.81,11,13.75146674,14.63285714
151,2018-11-19,9.515,15.495,14.15,10.245,29.12,12.12,14.99,2,0,1,2,1,1,1,,,,,,8,67.68,11,13.75146674,13.7375
152,2018-11-26,9.29,15.495,13.72,9.405,29.21,12.29,14.71,2,0,1,2,1,1,1,,,,,,8,65.63,11,13.75146674,13.415
153,2018-12-03,9.465,15.495,14.81,9.79,29.22,14.01,14.76,2,0,1,1,1,1,1,,,,,,7,60.52,12,14.65093357,14.50285714
154,2018-12-10,9.74,15.495,14.99,9.89,29.3,14.36,14.91,2,0,1,1,1,1,1,,,,,,7,59.01,12,14.65093357,14.70428571
155,2018-12-17,9.485,15.495,15.03,9.69,26.435,13.65,15.35,2,0,1,1,2,1,1,,,,,,8,59.14,12,14.65093357,15.695
156,2018-12-24,9.61,15.495,15.18,9.755,28.36,14.13,15.94,2,0,1,2,1,1,1,,,,,,8,56.93,12,14.65093357,14.0425
157,2018-12-31,9.82,15.495,14.54,10.74,28.32,14.24,15.87,1,0,1,1,1,1,1,,,,,,6,57.32,12,14.65093357,15.58833333
158,2019-01-07,9.97,15.495,15.21,10.46,29.31,14.5,15.84,2,0,1,1,1,1,1,,,,,,7,55.62,1,14.955954,15.03714286
159,2019-01-14,10.09,15.495,15.11,10.22,27.86,14.56,15.68,1,0,1,1,1,1,1,,,,,,6,57.64,1,14.955954,15.58666667
160,2019-01-21,9.66,15.495,15.66,10.01,29.1,14.44,15.41,1,0,1,1,1,1,1,,,,,,6,59.52,1,14.955954,15.71333333
161,2019-01-28,8.97,15.495,15.03,9.44,29.21,13.97,14,1,0,1,2,1,1,1,,,,,,7,58.92,1,14.955954,14.29428571
162,2019-02-04,9.17,15.495,15.56,9.15,29.06,13.69,15.14,1,0,1,1,1,1,1,,,,,,6,62.55,2,14.39166667,15.295
163,2019-02-11,8.97,15.495,14.93,9.57,29.15,13.83,14.48,1,0,1,2,1,1,1,,,,,,7,61.65,2,14.39166667,14.35714286
164,2019-02-18,9.43,15.495,14.29,9.155,29.2,13.65,14.89,1,0,1,2,1,1,1,,,,,,7,64.68,2,14.39166667,14.25285714
165,2019-02-25,9.61,15.495,14.74,10.01,29.46,14.03,15.31,1,0,1,2,1,1,1,,,,,,7,64.5,2,14.39166667,14.73857143
166,2019-03-04,10.56,15.495,15.38,10.61,29.65,14.8,16.12,1,0,1,2,1,1,1,,,,,,7,65.61,3,14.78056406,15.39
167,2019-03-11,11.17,15.495,15.85,11.04,29.96,15.1,16.66,1,0,1,1,1,1,1,,,,,,6,66.59,3,14.78056406,16.63
