reg_date,china_p,peru_p,sale_p,"freeze,fus_p","freeze,fus,simmer_p","freeze,fin_p",china_sale_p,peru_sale_p,p_price
2020-03-16,3.526666667,2.66,2.6075,3.2,3.345,1.705,3.526666667,2.09,2.74
2020-03-23,3.42,1.9,2.357142857,2.46,0,1.57,3.42,1.9,2.357142857
2020-03-30,2.31,2.25,2.06,2.065,0,1.595,2.31,2.25,2.06
2020-04-06,2.9625,3.98,2.807777778,2.455,3.98,2.365,2.9625,3.98,2.807777778
2020-04-13,2.36,3.2,2.51,2.05,4.4,1.76,2.36,3.2,2.51
2020-04-20,2.2775,2.776666667,2.378181818,2.33,4.1,1.673333333,2.2775,2.776666667,2.378181818
2020-04-27,2.063333333,3.98,2.47375,2.16,3.98,1.65,2.063333333,3.98,2.47375
2020-05-04,3.396666667,3.04,3.035454545,2.145,6.69,2.12,3.396666667,2.88,3.049166667
2020-05-11,2.6625,3.515,2.850833333,2.355,5.43,1.583333333,2.6625,3.353333333,3.100666667
2020-05-18,2.524,2.966666667,2.636153846,2.12,4.355,1.683333333,2.524,2.966666667,2.706428571
2020-05-25,2.995,2.1,2.87,1.975,4.41,1.37,2.995,2.1,2.87
2020-06-01,2.5775,2.36,2.477,2.385,0,1.686666667,2.5775,2.36,2.477
2020-06-08,2.448333333,3.1625,2.305,2.166666667,4.685,1.593333333,2.448333333,2.203333333,2.592307692
2020-06-15,2.595,1.905,2.526923077,2.046666667,3.53,1.533333333,2.595,1.905,2.526923077
2020-06-22,2.774285714,0,2.68,1.99,3.69,2.253333333,2.774285714,0,2.68
2020-06-29,2.688,2.59,2.583636364,2.09,3.72,1.62,2.688,2.59,2.583636364
2020-07-06,2.761666667,2.9225,2.543333333,2.186666667,4.143333333,1.67,2.5,2.9225,2.660769231
2020-07-13,3.364,3.19,3.153333333,2.043333333,3.946666667,1.64,3.364,3.19,3.153333333
2020-07-20,2.285,3.45,2.617,1.966666667,4.225,1.255,2.285,3.45,2.733636364
2020-07-27,2.025,3.474,2.560769231,1.89,5.33,1.536666667,2.025,2.9775,2.767857143
2020-08-03,3.512,3.232,3.082,1.913333333,4.695,1.715,3.512,2.865,3.183125
2020-08-10,2.073333333,3.161428571,2.718461538,1.983333333,4.625,1.366666667,2.073333333,3.112,2.794
2020-08-17,2.626666667,3.026,2.544545455,2.27,4.41,1.65,2.626666667,2.7075,2.690833333
2020-08-24,2.12,2.6525,2.548461538,2.016666667,4.39,1.406666667,2.12,2.6525,2.548461538
2020-08-31,2.0525,2.843333333,2.385833333,1.89,4.37,1.413333333,2.0525,2.67,2.614
2020-09-07,2.665,2.812,2.532727273,2,4.125,1.63,2.665,2.4525,2.675833333
2020-09-14,2.173333333,3.102,2.555384615,1.856666667,4.915,1.585,2.173333333,2.69,2.712142857
2020-09-21,2.81,2.57375,2.743571429,1.716666667,4.015,1.503333333,3.056666667,2.628,2.662777778
2020-09-28,2.006666667,2.3725,2.297272727,1.703333333,4.14,1.253333333,2.006666667,2.3725,2.297272727
2020-10-05,2.735,2.618,2.534545455,1.866666667,3.96,1.22,2.735,2.335,2.635833333
2020-10-12,2.37,2.31875,2.452666667,1.763333333,3.83,1.246666667,2.53,2.374,2.387368421
2020-10-19,2.485,2.718,2.730909091,1.696666667,4.36,1.11,2.485,2.325,2.860833333
2020-10-26,2.355,2.386666667,2.447,1.425,4.185,1.105,2.355,2.105,2.530833333
2020-11-02,2.6025,2.371666667,2.34,1.663333333,4.8,1.22,2.17,2.406,2.423529412
2020-11-09,2.642,2.826666667,2.4425,1.593333333,5.03,1.105,2.26,2.2375,2.766
2020-11-16,3.104,2.142857143,2.706153846,2.293333333,3.585,1.226666667,3.37,2.155,2.609444444
2020-11-23,3.183333333,2.403333333,2.841111111,1.425,4.43,1.03,3.183333333,2.505,2.724545455
2020-11-30,2.15,2.522,2.298888889,1.44,3.945,1.08,2.15,2.1225,2.481
2020-12-07,3.14,2.634,2.758571429,1.94,4.305,1.09,2.9,2.5025,2.898888889
2020-12-14,2.0675,2.08625,2.2875,1.395,3.53,1.3775,2.0675,2.106,2.240666667
2020-12-21,3.03,1.8725,2.4675,1.47,3.18,0.98,2.813333333,1.8725,2.602222222
2020-12-28,2.605,1.95,2.2775,1.745,2.91,1.33,2.605,1.95,2.2775
